Source,Target,Type,Id,Label,timeset,Weight
ENSG00000099326,ENSG00000218537,Directed,71,,,1
ENSG00000099326,ENSG00000170142,Directed,72,,,1
ENSG00000099326,ENSG00000009790,Directed,73,,,1
ENSG00000099326,ENSG00000103490,Directed,74,,,1
ENSG00000099326,ENSG00000103264,Directed,75,,,1
ENSG00000099326,ENSG00000143110,Directed,76,,,1
ENSG00000099326,ENSG00000118971,Directed,77,,,1
ENSG00000099326,ENSG00000261366,Directed,78,,,1
ENSG00000099326,ENSG00000114739,Directed,79,,,1
ENSG00000099326,ENSG00000112715,Directed,80,,,1
ENSG00000099326,ENSG00000146410,Directed,81,,,1
ENSG00000099326,ENSG00000105607,Directed,82,,,1
ENSG00000099326,ENSG00000168496,Directed,83,,,1
ENSG00000099326,ENSG00000158714,Directed,84,,,1
ENSG00000099326,ENSG00000023287,Directed,85,,,1
ENSG00000099326,ENSG00000241343,Directed,86,,,1
ENSG00000099326,ENSG00000171425,Directed,87,,,1
ENSG00000099326,ENSG00000114383,Directed,88,,,1
ENSG00000099326,ENSG00000215271,Directed,89,,,1
ENSG00000099326,ENSG00000152443,Directed,90,,,1
ENSG00000099326,ENSG00000169504,Directed,91,,,1
ENSG00000099326,ENSG00000172301,Directed,92,,,1
ENSG00000099326,ENSG00000122641,Directed,93,,,1
ENSG00000099326,ENSG00000138449,Directed,94,,,1
ENSG00000099326,ENSG00000143067,Directed,95,,,1
ENSG00000099326,ENSG00000196839,Directed,96,,,1
ENSG00000099326,ENSG00000204271,Directed,97,,,1
ENSG00000099326,ENSG00000175322,Directed,98,,,1
ENSG00000099326,ENSG00000090924,Directed,99,,,1
ENSG00000099326,ENSG00000156931,Directed,100,,,1
ENSG00000099326,ENSG00000158481,Directed,101,,,1
ENSG00000099326,ENSG00000134802,Directed,102,,,1
ENSG00000099326,ENSG00000172954,Directed,103,,,1
ENSG00000099326,ENSG00000235090,Directed,104,,,1
ENSG00000099326,ENSG00000068489,Directed,105,,,1
ENSG00000099326,ENSG00000217801,Directed,106,,,1
ENSG00000099326,ENSG00000126464,Directed,107,,,1
ENSG00000099326,ENSG00000100902,Directed,108,,,1
ENSG00000099326,ENSG00000188511,Directed,109,,,1
ENSG00000099326,ENSG00000178921,Directed,110,,,1
ENSG00000099326,ENSG00000142227,Directed,111,,,1
ENSG00000099326,ENSG00000118292,Directed,112,,,1
ENSG00000099326,ENSG00000197780,Directed,113,,,1
ENSG00000172818,ENSG00000258986,Directed,114,,,1
ENSG00000172818,ENSG00000185958,Directed,115,,,1
ENSG00000172818,ENSG00000196549,Directed,116,,,1
ENSG00000172818,ENSG00000224310,Directed,117,,,1
ENSG00000172818,ENSG00000261222,Directed,118,,,1
ENSG00000172818,ENSG00000257746,Directed,119,,,1
ENSG00000172818,ENSG00000231388,Directed,120,,,1
ENSG00000172818,ENSG00000143578,Directed,121,,,1
ENSG00000172818,ENSG00000276778,Directed,122,,,1
ENSG00000172818,ENSG00000198788,Directed,123,,,1
ENSG00000172818,ENSG00000234338,Directed,124,,,1
ENSG00000172818,ENSG00000198400,Directed,125,,,1
ENSG00000172818,ENSG00000182348,Directed,126,,,1
ENSG00000172818,ENSG00000175518,Directed,127,,,1
ENSG00000172818,ENSG00000171303,Directed,128,,,1
ENSG00000172818,ENSG00000278865,Directed,129,,,1
ENSG00000172818,ENSG00000237525,Directed,130,,,1
